"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Afghanistan","AFG","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","1282500000","","","1457750000","1562500000","1834000000","2353000000","2673250000","","","","","","","","","","","","","","","","","","","","","","","","","","","5986000000","6074333333.33333","6557500000","10970666666.6667","12086666666.6667","12675333333.3333","13849666666.6667","15230500000","12149000000","12027666666.6667","15356000000","12199166666.6667","12614833333.3333","13020833333.3333","14310000000","17593500000","21495833333.3333","23040000000","","",
"Angola","AGO","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","10.27","15.1","14.88","18.516","20","23.295","31.9","34.3","34.6","44.5","43.961","58.297","52.391","56.82","199.66","4720.2","35410.9","643124","20451600","104621000","66889400","2976540000","5859850000","8917990000","19096100000","49987800000","68297900000","118977000000","158350000000","155900000000","237375000000","262671000000","321743000000","341875000000","395680000000","587869000000","673000000000","433216000000","452356000000","508175000000","501224000000","536216000000","573920000000","614988000000","747658000000","",
"Albanie","ALB","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","653000000","783000000","805000000","825000000","885000000","940000000","940000000","935000000","910000000","1010000000","953000000","978000000","1011000000","955000000","965000000","990000000","950000000","2368000000","4010000000","4698000000","4719000000","4777000000","4442000000","5067000000","5891000000","6519000000","7638000000","8220000000","9279000000","10372800000","10999800000","13831000000","17619000000","21450000000","17356000000","19321000000","19877000000","19820000000","19022000000","18788000000","16671000000","16250000000","17199000000","18995000000","21670000000","21348000000","23072000000","32633000000","",
"Émirats arabes unis","ARE","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12246000000","14728000000","15546000000","21579000000","21293000000","19663000000","21428000000","25035000000","24254000000","26315000000","31073000000","42497000000","50814000000","64286000000","70445000000","69866000000","86528000000","83568000000","","","","","","","","","",
"Argentine","ARG","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","0.00155","0.00214","0.00266","0.00336","0.00345","0.00428","0.00584","0.0084","0.0118","0.0155","0.0169","0.0235","0.0383","0.0647","0.0813","0.292","2.87","8.39","24.7","66.6","119","259","591","2999","17100","122000","231000","533000","2360000","61000000","1000000000","2726000000","3224000000","3365000000","3751000000","3801000000","3378000000","3339000000","3397000000","3460000000","3265000000","3182000000","3413000000","3988000000","4285000000","4935000000","5643000000","7109000000","8769000000","11063000000","13541000000","16654000000","20703000000","28050000000","40209000000","50621000000","66586000000","90372600000","107976300000","150843600000","199750400000","292006900000","336188400000","",
"Arménie","ARM","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6500000","89500000","","21200000000","21700000000","31444700000","33706900000","36509500000","36715900000","36772600000","36755600000","44326300000","52315800000","64414000000","78294200000","95819300000","121162000000","130600000000","147600000000","145600000000","152900000000","182100000000","190411000000","213811000000","207270000000","214218000000","247895000000","313275000000","308016000000","312193000000","347007000000","",
"Australie","AUS","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","410500000","420500000","437000000","494000000","585500000","703000000","881000000","1069500000","1180000000","1174000000","1140500000","1175500000","1245000000","1305500000","1482000000","1733000000","1997500000","2255000000","2460500000","2774000000","3212500000","3762500000","4396500000","5008000000","5612500000","6281500000","6891500000","7222500000","7470000000","7967000000","8588500000","9016500000","9371000000","9902500000","10203000000","10341500000","10482000000","10694000000","11314000000","12043500000","12546000000","13617500000","14626500000","15306000000","16310500000","17334500000","18910000000","20539000000","22214000000","24310500000","25311000000","25785000000","25320000000","25715000000","28603500000","32005500000","35495000000","36121950000","35933450000","37502100000","39668200000","43580465000","46563510000","",
"Autriche","AUT","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","173000000","172000000","189000000","238000000","311000000","270000000","317000000","334000000","344000000","365000000","377000000","380000000","419000000","468000000","574000000","692000000","758000000","825000000","926000000","1020000000","1084000000","1122000000","1234000000","1295000000","1381000000","1559000000","1637000000","1596000000","1538000000","1561000000","1630000000","1692000000","1709000000","1788000000","1849000000","1874000000","1891000000","1920000000","1943000000","1994000000","2090000000","1999000000","1999450000","2110500000","2157800000","2160000000","2104600000","2557100000","2557800000","2400500000","2430000000","2452800000","2480600000","2432000000","2491200000","2403400000","2609600000","2797100000","2870400000","2980200000","3368900000","3548500000","3447100000","",
"Azerbaïdjan","AZE","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120000","1550000","13800000","58400000","61600000","73400000","83000000","99100000","107000000","122900000","136000000","173400000","224300000","287901000","640700000","812300000","1321000000","1183900000","1185200000","2432300000","2550300000","2642000000","2688100000","2971800000","2228800000","2642100000","2842700000","3152200000","3804200000","4595400000","5084760000","",
"Burundi","BDI","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","421000000","50600000","58100000","181700000","200100000","207900000","226700000","292000000","","230000000","315000000","474000000","605000000","672000000","860000000","1256000000","1533000000","1800000000","2498700000","2699600000","3299900000","3194600000","3583900000","3888700000","3951200000","3803900000","4809300000","6014000000","6782100000","7760000000","8121000000","8805000000","10589000000","10517000000","15408000000","21800000000","26300000000","28500000000","30500000000","44200000000","41800000000","47000000000","49400000000","53600000000","46000000000","50100000000","52000000000","","","","85060000000","94642000000","96169000000","104004000000","109850000000","109850000000","116380000000","156103000000","129200000000","135100000000","207077000000","",
"Belgique","BEL","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","474990000","484904000","523330000","551070000","616090000","620630000","698290000","753497000","801170000","836740000","926820000","1007800000","1120100000","1252700000","1431300000","1757500000","2018900000","2218200000","2472100000","2639400000","2869500000","3115750000","3275340000","3386600000","3448500000","3574200000","3769900000","3852800000","3734400000","3790700000","3847400000","3914700000","3292500000","3212700000","3271100000","3251300000","3255700000","3267100000","3297200000","3377600000","3463300000","3392800000","3344000000","3434000000","3433000000","3400000000","3434000000","3773000000","4298000000","4046000000","3960000000","3956000000","4023000000","3964000000","3913000000","3789000000","3848000000","3932300000","4100700000","4252700000","4665000000","5276000000","6529000000","",
"Bénin","BEN","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","319000000","533000000","670000000","726000000","932000000","979000000","915000000","962000000","1063000000","1044000000","1133000000","1180000000","1236000000","1493000000","1552000000","1684000000","1711000000","2493000000","1930000000","3736000000","4990000000","4670000000","5440000000","6770000000","9280000000","8900000000","9100000000","10700000000","11000000000","9100000000","8935000000","","","","","","","","","10986000000","10321000000","9612000000","18122000000","20077000000","22072000000","23581000000","24464000000","","28984000000","","","","39935000000","42489000000","45976000000","53760490000","47187000000","67898000000","50135000000","39911000000","41329000000","54040000000","60610000000","",
"Burkina Faso","BFA","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","311000000","403000000","1201000000","1294000000","1313000000","860000000","960000000","909000000","931000000","1046000000","1157000000","1196000000","1247000000","1355000000","1509000000","3871000000","4667000000","5627000000","7305000000","6814000000","7471000000","9216000000","10800000000","11172000000","11784000000","12178000000","17724000000","15241000000","17033000000","21315000000","22997000000","19608000000","18824000000","17139000000","16800000000","18400000000","19000000000","22500000000","23300000000","25700000000","26100000000","27000000000","29600000000","29500000000","34700000000","38950000000","37979000000","51673000000","52393000000","60125000000","61266000000","65519000000","75420000000","82078000000","87594000000","87496000000","88625000000","111699000000","169936000000","209727000000","220074000000","254201000000","350865500000","",
"Bangladesh","BGD","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","381554631.807284","594725281.42482","985017363.854321","1621346797.57963","1976052574.49481","2025236899.18941","2118976435.66617","2584780922.47973","3131594885.26087","4084613506.108","5705960303.68764","6194910355.06336","6297329478.25094","7565127777.14351","8923193777.82852","10535282349.5833","12223751284.3932","12894972656.696","13969505491.4945","16660177371.8461","18637965863.6831","22012589176.8467","24976378719.0319","26704773752.7115","29930686813.5632","32908363694.4857","36196191140.5412","38626475419.5684","39370605320.242","39468973969.6312","41835607946.1126","45862936179.9292","49768750199.7945","57192690033.1088","65669753054.0016","70657622217.1481","86905808539.7877","113154000000","133588500000","149270500000","159954500000","182922500000","219442500000","254475000000","262084500000","304558000000","367187500000","394625000000","422438500000","448871000000","",
"Bulgarie","BGR","Dépenses militaires (unités de devises locales courantes)","MS.MIL.XPND.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1740000","1740000","4130000","5970000","7800000","13100000","20900000","38000000","411000000","564000000","656000000","746000000","887000000","947000000","986000000","978000000","1051000000","1116000000","1415000000","1553000000","1273000000","1230000000","1066000000","1099000000","1196000000","1102000000","1116000000","1186000000","1255000000","1593000000","3771000000","1920000000","2109000000","2484300000","",
